region,selectivity,method,grp,metric,value
Core,30,cuckoo,FLOPS_AVX,PackedSPMFLOP/s,0
Core,40,cuckoo,FLOPS_AVX,PackedSPMFLOP/s,0
Core,50,cuckoo,FLOPS_AVX,PackedSPMFLOP/s,0
Core,60,cuckoo,FLOPS_AVX,PackedSPMFLOP/s,0
Core,70,cuckoo,FLOPS_AVX,PackedSPMFLOP/s,0
Core,80,cuckoo,FLOPS_AVX,PackedSPMFLOP/s,0
Core,90,cuckoo,FLOPS_AVX,PackedSPMFLOP/s,0
Core,10,cuckoo,FLOPS_AVX,RDTSCRuntime[s],0.0297412673267327
Core,20,cuckoo,FLOPS_AVX,RDTSCRuntime[s],0.0192133366336634
Core,30,cuckoo,FLOPS_AVX,RDTSCRuntime[s],0.0193595940594059
Core,40,cuckoo,FLOPS_AVX,RDTSCRuntime[s],0.0194798910891089
Core,50,cuckoo,FLOPS_AVX,RDTSCRuntime[s],0.0196113069306931
Core,60,cuckoo,FLOPS_AVX,RDTSCRuntime[s],0.0197460198019802
Core,70,cuckoo,FLOPS_AVX,RDTSCRuntime[s],0.0316691683168317
Core,80,cuckoo,FLOPS_AVX,RDTSCRuntime[s],0.0314707920792079
Core,90,cuckoo,FLOPS_AVX,RDTSCRuntime[s],0.0315888910891089
Core,10,cuckoo,FLOPS_AVX,Runtime(RDTSC)[s],0.0297425742574258
Core,20,cuckoo,FLOPS_AVX,Runtime(RDTSC)[s],0.0192108910891089
Core,30,cuckoo,FLOPS_AVX,Runtime(RDTSC)[s],0.0193594059405941
Core,40,cuckoo,FLOPS_AVX,Runtime(RDTSC)[s],0.0194831683168317
Core,50,cuckoo,FLOPS_AVX,Runtime(RDTSC)[s],0.0196138613861386
Core,60,cuckoo,FLOPS_AVX,Runtime(RDTSC)[s],0.0197475247524753
Core,70,cuckoo,FLOPS_AVX,Runtime(RDTSC)[s],0.0316663366336634
Core,80,cuckoo,FLOPS_AVX,Runtime(RDTSC)[s],0.0314782178217822
Core,90,cuckoo,FLOPS_AVX,Runtime(RDTSC)[s],0.0315891089108911
